MarketSegmentID;SecurityID;ExecID;ApplSeqNum;PartitionID;CompletionIndicator;TradeCondition;AggressorSide;LastQty;LastPx;RestingHiddenQty;RestingCxlQty;RequestTime;AggressorTime;TransactTime;EOBICaptTime;ETICaptTime
52836;2504929;1534402945181292995;213523;58;1;255;2;37;3759000000;;0;1534402945181277953;1534402945181288812;1534402945181320483;1534402945181321907;1534402945181276832
52836;2504929;1534402945181340432;213524;58;1;255;2;63;3759000000;;0;1534402945181326165;1534402945181337246;1534402945181374272;1534402945181375748;1534402945181325054
52836;2504929;1534402945247655211;213533;58;1;255;2;100;3757000000;;0;1534402945247602780;1534402945247651047;1534402945247688444;1534402945247690001;
52807;2504900;1534402945262362252;36836;53;1;255;1;100;8181000000;;0;1534402945262340515;1534402945262359016;1534402945262401392;1534402945262402927;1534402945262339372
52807;2504900;1534402945275908936;36840;53;1;255;2;77;8178000000;;0;1534402945275862762;1534402945275904534;1534402945275940095;1534402945275941511;
52487;2504580;1534402945290129306;213551;58;1;255;1;125;5075000000;;0;1534402945290106521;1534402945290124095;1534402945290161039;1534402945290162360;1534402945290105398
52487;2504580;1534402945290197079;213553;58;1;255;2;400;5080000000;;0;1534402945290174409;1534402945290189276;1534402945290224703;1534402945290226264;1534402945290173316
52487;2504580;1534402945290267723;213558;58;1;255;2;937;5080000000;;0;1534402945290232339;1534402945290242542;1534402945290293384;1534402945290294910;1534402945290231229
52487;2504580;1534402945290318274;213559;58;1;255;2;1589;5080000000;;0;1534402945290299899;1534402945290310888;1534402945290342212;1534402945290343687;1534402945290298805
52807;2504900;1534402945299779279;36841;53;1;255;2;23;8178000000;;0;1534402945299731627;1534402945299774316;1534402945299812951;1534402945299814352;1534402945299678605
52487;2504580;1534402945395906515;213595;58;1;255;1;50;5090000000;;0;1534402945395893351;1534402945395903107;1534402945395935967;1534402945395937424;1534402945395892241
52487;2504580;1534402945395930945;213596;58;1;255;1;50;5090000000;;0;1534402945395895035;1534402945395907677;1534402945395958716;1534402945395960229;1534402945395893931
52487;2504580;1534402945395954713;213597;58;1;255;1;25;5090000000;;0;1534402945395896561;1534402945395912112;1534402945395988820;1534402945395990409;1534402945395895467
52381;2504474;1534402945409359006;213656;58;1;255;1;300;5675000000;;0;1534402945409345203;1534402945409354763;1534402945409383621;1534402945409384989;1534402945409344101
52381;2504474;1534402945409417013;213658;58;1;255;1;38;5675000000;;0;1534402945409398899;1534402945409409446;1534402945409439331;1534402945409440724;1534402945409397808
52381;2504474;1534402945420898912;213682;58;1;255;1;17;5690000000;;0;1534402945420865576;1534402945420895944;1534402945420927303;1534402945420928978;
52381;2504474;1534402945465421756;213717;58;1;255;2;7;5680000000;;0;1534402945465401337;1534402945465416969;1534402945465445418;1534402945465446881;1534402945465400227
52381;2504474;1534402945488699406;213718;58;1;255;2;26;5680000000;;0;1534402945488662437;1534402945488694154;1534402945488721430;1534402945488722773;1534402945488661325
52807;2504900;1534402945659338708;36860;53;1;255;2;79;8177000000;;0;1534402945659319661;1534402945659335149;1534402945659377344;1534402945659378769;1534402945659318515
53021;2505114;1534402945891891840;41724;52;1;255;2;250;14014000000;;0;1534402945891819720;1534402945891887038;1534402945891931919;1534402945891933537;
53021;2505114;1534402945891955826;41725;52;1;255;2;750;14014000000;;0;1534402945891939751;1534402945891952194;1534402945891992762;1534402945891994285;1534402945891938641
53021;2505114;1534402945896883576;41734;52;0;255;1;97;14016000000;;0;1534402945896864459;1534402945896880453;1534402945896922718;1534402945896924214;1534402945896863354
52408;2504501;1534402945899735277;39933;54;1;255;1;200;4253000000;;0;1534402945899681725;1534402945899731958;1534402945899785794;1534402945899787310;
52915;2505008;1534402945922416138;44287;50;0;255;1;329;7732000000;;0;1534402945922400497;1534402945922412785;1534402945922457498;1534402945922458982;1534402945922399431
